kings fall down before M 491
kings have been called M 248
kings have been buried M 190
kings were also called M 150
kings have left behind M 132
kin were more likely M 130
kings were wise enough M 118
kings have been always M 116
kings have done before M 112
kings have been killed M 112
kid from high school M 108
kid home from school M 104
kings like gods should M 98
kings have been handed M 86
kings have been chosen M 86
kings from their thrones D 2090
kings upon their thrones D 734
kings hold their crowns D 258
kings held their courts D 224
kings held their crowns D 136
kings wore their crowns D 108
kings lost their thrones D 102
kit made some anxious D 84
