kindness by artificial smiles M 166
kinetics of activated sludge D 138
kindness of president sparks D 116
kinetics of phosphate release D 114
kinetics of inorganic carbon D 112
kinetics of phosphate uptake D 111
kitchens of unpainted houses D 96
kinetics of substrate uptake D 94
kinetics in condensed matter D 90
