keep myself concentrated on M 212
kept almost continuously on M 152
kept almost continuously in M 122
kept before consciousness as M 98
kept almost continuously at M 90
keep almost indefinitely in D 370
kept almost indefinitely in D 248
keep almost indefinitely if D 248
kept almost indefinitely if D 104
kept almost indefinitely at D 82
