keepers were in number M 132
keyword used to define D 250
kernels from the stalks D 190
kernels from the shells D 188
keenest pangs of sorrow D 180
keenest edge to insult D 116
kettles full of boiled D 106
keenest edge of satire D 98
kernels from the middle D 79
ketchup from the corner D 54
ketchup from the bottle D 48
