saved through a balancing M 160
sailing without a compass D 385
sales exceed a certain D 274
sales beyond a certain D 158
sales reached a certain D 130
salts through a stirred D 120
sales through a variety D 110
sailing through a picture D 106
salts around a central D 102
sally raised a general D 96
sales follow a seasonal D 90
sails before a council D 88
sales without a license D 84
sailing through a channel D 84
