jealous because there was M 92
jerked himself free and D 428
jerked herself free and D 280
jealous brothers sold him D 238
jerked himself into his D 186
jersey divided into east D 162
jerkin slipped over her D 132
jerked herself from his D 124
jersey several years ago D 122
jerked herself away and D 106
jerked upright from his D 102
jealous devotion bade her D 96
jerked himself from his D 94
