jealousy had been sufficient M 144
jewelry and other decorative D 392
jewelry and other possessions D 240
jewelry and other ornamental D 204
jewelry and other adornments D 178
jetties and other structures D 162
jellies and other delicacies D 142
jeopardy and free government D 122
jealousy and rage culminated D 112
jealousy for your infidelity D 104
jewelry and other decorations D 80
jealousy may have stimulated D 80
