miserable that i remember M 142
ministers had a majority D 1138
minstrels and a glossary D 395
missionary and a physician D 298
ministers with a majority D 258
ministers and a majority D 126
missionary with a kindness D 124
missionary and a minister D 106
ministers and a minister D 98
miserable and a humiliating D 90
missionary and a gendarme D 84
midsummer with a beautiful D 80
missionary and a cannibal D 49
