special senses , particularly M 440
speech sounds , particularly M 416
special mention , particularly M 384
special groups , particularly M 302
special events , particularly M 226
special training , particularly M 184
special notice , particularly M 134
special powers , particularly M 106
special rights , particularly M 104
special fields , particularly M 96
spoken slowly , deliberately M 92
special forces , intelligence M 92
