specialised research and development M 154
specialized research and development D 558
spontaneous beliefs and indefinable D 234
spontaneous abortion and infertility D 222
splendidly printed and illustrated D 176
spontaneous research and speculative D 160
spontaneous abortion and prematurity D 146
specialized tissues and preferential D 128
specialized language and terminology D 114
spectators against her prosecutors D 106
specialized schools and institutions D 51
