irregular when compared with M 234
irradiation from external and D 814
irradiated mice injected with D 444
irrigated land accounts for D 174
irrigated land suitable for D 169
irradiation were compared with D 117
irradiated also produces heat D 112
irradiated fuel elements and D 100
irritable from distress and D 94
irrigable land suitable for D 90
irradiated fuel elements are D 81
