irrelevance and never to M 188
irreverence with which the D 730
irrevocably set aside to D 570
irreverence with which he D 534
irrevocable and shall be D 446
irresolution and habit of D 278
irrevocable and binding on D 256
irrevocably set aside in D 130
irreverence with which we D 129
irrevocable any grant of D 102
irreverence with which it D 102
irregularly one above the D 100
irreverence and scorn the D 94
irresolution with which the D 86
