dullness takes the lead M 112
duodenal ulcer is not D 722
duodenal ulcer in men D 240
duodenum comes to lie D 219
duodenal ulcer do not D 136
duodenal ulcer is that D 134
duodenal ulcer is due D 130
dubiously first on one D 122
duodenal ulcer is one D 121
duodenal ulcer or with D 116
duodenal ulcer in this D 106
duodenal ulcer in one D 102
duodenal ulcer in man D 94
durations which do not D 80
duodenal ulcer in that D 43
