knowable and that which M 108
knighted for his pains D 212
knuckles with her ruler D 176
knickers and long socks D 138
knuckles with his ruler D 130
knighted for his valor D 94
knuckles with his thumbs D 88
knuckles that she would D 84
knighted for this morning D 84
knapsack and his cloak D 82
