knowable but not yet M 120
knighted him for his D 1062
knuckles with her fan D 584
knighted him with his D 282
knapsack and set off D 257
knapsack and set out D 232
knuckles and then with D 170
knighted for his war D 116
knuckles for not being D 104
knapsack and his gun D 84
knapsack and put them D 80
