passing into conceptual analysis M 142
pages were originally prepared M 123
parts were improperly disposed M 92
parts were originally intended M 86
parts most frequently affected D 1484
parts most frequently attacked D 390
parts most frequently involved D 350
paper pays particular attention D 224
party were hospitably received D 132
parts having specialized functions D 100
party paid particular attention D 86
pains were immediately relieved D 82
