glanced out through a M 146
glorious day without a M 144
glorious and divine a M 108
glasses and carrying a D 960
glasses and poured a D 338
glasses and opened a D 190
glasses and pulled a D 154
glasses sat behind a D 148
glasses that absorb a D 132
glasses and smoked a D 130
glasses and sporting a D 118
glasses and looked a D 96
glasses and rubbed a D 88
glasses and placed a D 84
glasses and passed a D 80
