glaring eyes looking straight M 268
glass tube which contains D 712
glass test tubes containing D 246
glare from shiny surfaces D 192
glowing iron looks luminous D 162
glass tube which connects D 148
glass case which contains D 125
glass bulb which contains D 116
glass eyes aimed straight D 106
gliding into close quarters D 100
