glory appeared unto our M 894
glory differs from that M 214
globe divided into two M 172
glaring omission from this M 153
glory descend upon him M 82
glory resulting from this M 80
glass slipped from his D 748
glass windows were not D 718
glass slipped from her D 652
gliding swiftly over them D 522
glass display case and D 482
glass dropped from his D 462
glass display case that D 385
glass windows were put D 355
glass curtain wall and D 353
glass screwed into his D 348
glide smoothly over each D 315
glass against hers and D 306
glass display case with D 298
glass between thumb and D 284
glued together into one D 276
glass dropped from her D 240
glass screwed into one D 238
glass differs from that D 230
glass against mine and D 228
glass bottles used for D 218
glass curtain wall that D 215
glass curtain wall with D 210
gloom settled over him D 204
gland becomes hard and D 196
glowing reports from his D 178
gloom settled upon him D 168
gloom settled upon his D 166
glass depends upon its D 160
glass vessels used for D 156
glass windows were set D 155
glass windows into all D 152
glide smoothly from one D 148
glass display case was D 148
glide swiftly down its D 146
glass divided into two D 146
glass curtain wall was D 144
glide smoothly over one D 143
glass windows look out D 143
glowing faintly very near D 142
gloom settled over his D 138
glass windows were all D 128
glowing faintly upon her D 126
gloom settled over her D 122
glass becomes more and D 120
glass removed from his D 118
glass mirrors were not D 118
glass shrinks less than D 116
gloom settled over all D 112
gliding rapidly south and D 110
glass vessels were not D 107
gliding smoothly from one D 106
glide between wind and D 104
glass display case for D 104
glass between finger and D 100
gland differs from that D 96
gloom settled upon all D 94
glass display case near D 93
glaze shrinks more than D 92
glass workers union and D 88
glass windows were then D 87
glass between these two D 86
glass together from end D 84
gland becomes more and D 82
glass because there was D 80
glass windows were being D 62
glass windows along one D 47
glass vessels were being D 45
glowing reports from her D 42
