glorious facts inspired in M 140
glorious times promised to M 88
glorious fight receives the M 84
glanced rather anxiously at D 344
glacier which occupied the D 286
glasses which indicate the D 158
glacier which occupies the D 118
glories which surround the D 110
glucose level increases the D 98
glucose level decreases to D 98
glucose level increases to D 90
glanced rather curiously at D 82
