glad smile lighted up M 142
glue holding together the D 730
glue joint between the D 199
gleam white against the D 198
glad tidings arrived at D 198
glow which appeared on D 190
glue binding together the D 150
glad tidings preached to D 150
glow which mantled in D 142
glad tidings brought by D 114
glow which appeared at D 112
glad tidings brought to D 94
glow which mellows it D 92
glad tidings preached by D 90
glow which lighted up D 80
