glad were your fathers M 147
glow over these novels D 412
glue made from animal D 263
gleam from among groves D 208
glow coming from behind D 169
glen cove high school D 136
glue made from boiled D 127
glow coming from inside D 127
glean from their writings D 114
glow from city lights D 102
glean from your letter D 96
gleam like pale meteors D 90
glow came from inside D 75
