vast mountain ranges , M 1048
vast inclined plane , M 332
vast confusion waits , M 314
vast elevated plain , M 278
vast distance below , M 234
vast extended plain , M 228
vast circular space , M 164
vast solitude which , M 150
vast mountain chain , M 150
vast projects which , M 132
vast movement which , M 108
vast progress which , M 106
vast authority which , M 102
vast potential power , M 88
vast majestic globe , M 88
