friend from university days M 830
frames having apparently made M 164
framed their complaints during M 136
french have reinforced their D 380
fruits were introduced into D 234
french have maintained their D 226
french flag disappeared from D 168
french were interested only D 134
french were prohibited from D 106
framed tale handsomely told D 106
french were translated into D 101
french were establishing their D 88
french were eliminated from D 82
