erected or maintained without M 125
erected the triumphant banner D 786
erected at convenient points D 362
erected at convenient places D 228
erection of particular dogmas D 204
erasure of historical memory D 166
erected in convenient places D 138
erection of sufficient strength D 122
erected by formulated school D 94
erasure of collective memory D 88
erection of protective tariff D 82
