humorous observations at which M 104
humblest instruments by which M 92
hundredth anniversary of whose D 541
humblest departments of daily D 368
hundredth anniversary of which D 282
hundredth anniversary of saint D 144
hundredth anniversary of peter D 51
hundredth anniversary of queen D 43
hundredth anniversary of father D 42
