hurt is intended towards M 114
hurt in committing robbery D 276
hurt the domestic economy D 154
hurt by increased imports D 154
hubs or switches together D 138
hurt by inflation because D 134
hues in separate patches D 110
huts of charcoal burners D 106
hues of daylight rejoice D 88
huts of branches covered D 84
hurt the economic position D 80
