pluralistic with respect to D 238
playfulness and pleasure in D 164
playwrights who emerged in D 156
playfulness and delight in D 110
playwrights and writers of D 108
playwrights are beginning to D 104
playwrights and critics of D 100
pleasantness and aptness of D 93
pleasantness and delight of D 90
playwrights and critics in D 90
playwrights and players of D 82
playfulness and variety of D 82
playfulness and freedom of D 82
