nineteen and seventeen years M 446
nitrates are converted into D 538
nitrogen and potassium were D 472
nitrogen being converted into D 314
nitrogen are converted into D 270
nitrogen was converted into D 236
nitrogen and phosphate from D 174
nitrogen and potassium from D 166
nitrogen and phosphate were D 144
nitrogen was extracted from D 119
nitrites are converted into D 112
