yells had not awakened M 326
yearning for his presence M 326
yearning for her children M 172
yearning for her presence M 166
yearly for all services M 138
yearning for his children M 124
yearly for his services M 118
yearns for her children M 106
yearning for her daughter M 104
yearning for old triumphs M 96
yearly read one complete M 81
yearning for his homeland D 284
yeoman was not inclined D 246
yearning for new horizons D 88
yearns for his sufferings D 85
