urgent in requiring their M 132
urethra or bladder neck D 1094
urethra is divided into D 973
urethra is derived from D 499
ureter is brought into D 190
ureter is derived from D 166
ureter is divided into D 142
urbane or courage high D 108
uremic or diabetic coma D 98
urchin of thirteen years D 94
