urgent action was required M 796
urgent needs and problems M 230
urgent appeal for immediate M 226
urgent steps are required M 130
urgent social and economic D 1804
urgent appeal for financial D 612
uremic signs and symptoms D 246
urgent social and cultural D 108
urgent appeal for military D 108
urgent needs for railways D 86
urgent needs for economic D 82
