won a certificate of M 660
won a scholarship to D 46840
won a scholarship at D 4848
won a scholarship in D 2846
won a championship in D 742
won a sweepstakes of D 716
won a scholarship of D 332
won a scholarship or D 232
won a championship at D 216
won a partnership in D 178
won a lieutenancy by D 176
won a scholarship as D 121
won a scholarship on D 118
won a scholarship by D 118
won a commendation in D 90
