work progressed i found M 108
work constructing a large M 41
work represents a major D 1121
work represents a first D 396
work represents a shift D 204
work represents a turning D 192
work represents a large D 128
work represents a small D 114
work represents a stage D 112
wolf discharges a galling D 108
work represents a change D 100
work represents a study D 80
work represents a vital D 49
