performed almost immediately after M 122
permanent partial disability cases D 932
permanent partial disability award D 406
permanent partial disability under D 238
permanent partial disability shall D 182
permission oxford university press D 178
perpetual tender solicitude about D 172
permanent partial disability which D 156
persisted without substantial change D 96
