elegant a manner that M 90
elected a member for D 1516
elected a deputy for D 1310
elected a member and D 948
elected a fellow and D 756
elected a fiscal year D 376
elected a deputy and D 354
elected a speaker and D 244
elicits a desire for D 160
elected a bishop and D 154
elected a member both D 120
elected a person who D 110
elected a senate and D 108
elected a member but D 106
elicits a reaction that D 92
election i should not D 86
elected s status for D 80
