eleven lives were lost M 466
eleven miles away from M 456
eleven miles from here M 330
eleven miles from town M 300
eleven cases have been M 276
eleven miles from their M 216
elders shall fall down M 197
eleven months there were M 170
elders might have been M 168
eleven others were made M 146
eleven others have been M 142
eldest might have been M 140
eleven light years away M 136
eleven books have been M 124
eleven miles south from M 120
eleven months away from M 118
elders which were come M 108
eleven people lost their M 106
eleven miles west from M 106
eleven human beings were M 104
elders bowed their heads M 104
eleven cases there were M 102
eleven miles from home M 96
elders could have been M 92
elders casting down their M 86
elders shall call upon M 84
elders comes from home M 82
eleven miles from north M 81
eleven which have come M 80
eleven miles from there M 40
eleven stars were bowing D 750
elders shook their heads D 712
elders would have been D 488
elites would have been D 404
eleven stars bowing down D 351
elation broke from their D 292
eleven miles from fort D 218
eleven would have been D 204
eldest would have been D 180
eleven votes were cast D 176
elders mixed good wine D 174
elders shake their heads D 158
elites might have been D 154
eleven miles from camp D 114
elites which have been D 112
elicit anything more from D 104
elation would have been D 102
elixir would have been D 96
eleven miles from cape D 96
elders would have done D 88
