ridicules are so little D 338
ridiculed him as loudly D 214
ricocheting off the ground D 212
ridiculed him in public D 165
rivalries and the desire D 128
rivalries with the united D 97
rivalries for the moment D 96
rightmost bit is called D 96
ribosomes and the active D 94
ridiculed her in public D 92
rivalries with the french D 60
