void upon such payment M 132
vote have been omitted D 832
vote cast their ballots D 759
vote upon such question D 364
voting upon such question D 328
voting upon said question D 226
vows were ever brokers D 158
voting cast their ballots D 141
vote will make enemies D 126
voting away those millions D 118
voting have been removed D 103
voting have been reduced D 101
vote upon those measures D 98
vote like their parents D 98
vote having been counted D 98
vote will also receive D 88
voting have been devised D 48
