void surrounded by a M 67
voting securities of a D 5209
vote separately as a D 862
voting separately as a D 788
voting securities by a D 446
voting securities in a D 203
vote separately on a D 166
voting securities or t D 165
vote republican in a D 151
voting privileges of a D 126
voting privileges to a D 104
vote democratic in a D 98
voting efficiency of a D 88
vote republican by a D 84
voting procedures in a D 70
voting privileges as a D 63
