vocal performance and best M 118
voice interrupted them from M 110
voice interrupted him from M 106
voice interrupted her musing M 88
voter registration and voting D 1097
voter registration and other D 642
voter registration had been D 234
voter registration has been D 224
voter preferences are single D 182
voice disciplined and clear D 166
voted unanimously that there D 106
voted unanimously for union D 104
voter registration and turn D 52
voter registration and vote D 50
