void between heaven and M 231
vote against people who D 200
vote against rather than D 194
vote against funding for D 187
vote against anything that D 172
vote against funds for D 158
voting buttons check box D 144
voting behavior rather than D 133
vote against loans for D 119
vote liberal rather than D 88
vote against world war D 83
