buckboard drawn by a D 420
butterfly landing on a D 338
butterfly resting on a D 329
butterfly sitting on a D 206
butterfly lands on a D 206
budgetary needs of a D 196
butterfly stuck on a D 186
burlesque elegy of a D 182
butterfly valve is a D 151
budgetary costs of a D 138
butterfly valve in a D 126
butterfly rests on a D 122
butterfly knows of a D 94
butterfly spread is a D 76
