buying an already established M 86
bulk of public expenditure D 386
buzz of admiring exclamations D 146
bulk or weight concentrate D 116
burn on altars consecrated D 112
bulk of recent scholarship D 112
bulk of recent development D 102
buzz of lively conversation D 94
bull is imaged patronizingly D 94
bulk of modern scholarship D 90
burn or shifting agriculture D 52
