sum insufficient for his M 98
sun microsystems for use D 236
sun microsystems and its D 178
sun microsystems and was D 144
sun microsystems that can D 122
sum distributions are not D 120
sun microsystems and has D 100
sun microsystems does not D 92
sun microsystems and now D 82
sum distributions that are D 58
