sunny a day as M 144
summing a set of D 550
suits a man to D 282
suits a lot of D 257
suits a man of D 246
suite a set of D 201
sucking a bit of D 182
sugar a year in D 154
sugar a year to D 136
suits a year to D 130
surer i was of D 129
sucking a lot of D 110
sugar a day in D 106
sucks a lot of D 96
sugar i put in D 90
sugar a year at D 88
suits a set of D 42
