cut square across , M 482
cut across gender , M 397
cut across fields , M 279
cut through actions , M 269
cut deeply enough , M 236
cut almost through , M 156
cut myself adrift , M 142
cut through another , M 116
cut across family , M 96
cup whoever tasted , M 86
cut through fields , M 52
