learning about customer needs M 148
level waste disposal sites D 272
level image processing tasks D 181
level where marginal costs D 146
level where marginal social D 124
level which otherwise would D 120
level sound pressure level D 90
lethal black chemical cloud D 84
leaves which overhanging trees D 82
legal rules mirrored moral D 80
