legendary love affair with M 88
leadership must ensure that D 262
leadership post office box D 204
leadership must realize that D 159
leisurely life before him D 140
leadership will emerge and D 136
leadership from someone who D 116
leftovers from dinner and D 115
leisurely down toward his D 114
leadership more readily than D 108
leadership role should not D 106
leadership will ensure that D 100
leftovers from dinner for D 84
