lucky appearance saved the M 278
lucid squadrons round the D 434
lurking somewhere beneath the D 208
lurking somewhere within the D 186
lurking somewhere close by D 160
lurking somewhere about the D 132
lunch yesterday shows us D 126
lurking somewhere under the D 98
lurking somewhere below the D 82
