luckily perhaps for himself M 194
lurched forward and grabbed D 598
lunatic asylums and prisons D 536
lustful thoughts and desires D 302
lurched forward and started D 242
lustful maidens and ascetic D 196
lurched forward and stopped D 188
lurched forward and stalled D 100
lurched forward and slammed D 94
lurched forward and crashed D 86
