lunatic who believes that D 230
lunches are provided for D 222
lucidly and usefully for D 194
luggage was unloaded and D 188
luncheon was prepared for D 162
luncheon was provided for D 154
luggage was examined and D 138
lumbering and slovenly lying D 120
lunches for children and D 116
lunches for children who D 104
luncheon that followed was D 98
luncheon and breakfast this D 86
luggage was unpacked and D 84
luggage and escorted them D 84
luggage and followed her D 82
