lucky guesses and probable M 82
lunged forward and snatched D 238
lunch program for children D 188
lunar orbiter and surveyor D 180
lunar samples are depleted D 118
lunar craters are volcanic D 118
lunar eclipse that occurred D 116
lunch program that provides D 108
lunch between two business D 102
lurking schemes with midnight D 96
lunch counter and demanded D 94
lunar surface and returned D 92
