ray powder photographs of D 646
raw scores corresponding to D 290
rat embryo fibroblasts by D 220
rat embryo fibroblasts in D 184
rat strain differences in D 163
ran almost exclusively on D 140
rat embryo fibroblasts to D 134
ran almost exclusively to D 118
ran almost exclusively in D 98
ray diagram corresponding to D 50
ray energy corresponding to D 46
