ran his experienced eye M 104
rat was anesthetized with D 424
ram was substituted for D 362
raw and undercooked meat D 190
ray was responsible for D 188
rang and interrupted her D 162
rang with preparations for D 148
ram was slaughtered and D 138
rat lung fibroblasts and D 136
rang with fulminations and D 112
rang with acclamations and D 92
rang and interrupted his D 88
