rainfall drops below twenty M 184
rapidity never known before D 448
railroad track running through D 198
railroad lines running through D 164
railroad labor board created D 164
rashness which might indeed D 116
rapidity which seems almost D 108
railroad lines passing through D 94
railroad train rolls through D 90
rascally groom shall gallop D 88
