civilisation more ancient than M 90
civilization more ancient than D 458
civilization more rapidly than D 334
circumcised three hundred and D 232
civilization into culture and D 116
civilization were adopted with D 102
civilization more vividly than D 92
civilization into contact with D 92
citizenship more careful and D 90
civilization will imprint its D 86
civilization less evolved than D 86
civilization into harmony with D 84
