dwelt upwards of twenty M 318
dwell together in mutual M 313
dwelt together in greater M 134
dwell together in another M 106
dwelt together the greater M 102
dwell outside the forest M 102
dwell together in safety M 90
dwell together on another M 86
dwelt between the rivers D 295
dwell outside the bounds D 134
dwelt together in cordial D 116
dwell chiefly in houses D 112
dwell between the rivers D 108
