joined themselves in civil M 312
joints stiffened by gouty D 280
joints subjected to bending D 198
joined secretary of state D 152
joyous ebullition of feeling D 114
joined companies at night D 98
joyous procession to offer D 90
joyful amazement at finding D 88
joined democrats to defeat D 80
