joined forces once more M 264
joyous should have made M 116
joyful motions bent their M 112
joints through their full D 1442
joints through their range D 338
johnny should have been D 248
joints through full range D 170
johnny turned away from D 140
joints should have been D 118
johnny turned half over D 94
joints differ from those D 80
