joined with numberless great M 82
joints are frequently used D 290
joints are classified into D 260
joined his respective army D 174
joints and connections must D 160
joyous and triumphant tone D 104
jostle and discompose their D 94
joints are frequently made D 88
joints are ordinarily used D 84
