journal will consider for M 900
jointly held property and M 598
journal also reported that M 571
jointly held property was M 348
jointly held property with M 262
journey into darkness and M 170
jointly held property that M 140
journey over mountain and M 134
jointly held property may M 132
jointly their capacity for M 108
jointly held property can M 94
jointly held property are M 90
