joined argument with poetry M 332
joyful applause with which M 266
joyful surprise with which M 246
joyous enthusiasm with which D 150
joyful alacrity with which D 142
joyous reception with which D 114
joyful enthusiasm with which D 94
joiner disputed that point D 92
joyous epicurean who could D 88
joyous alacrity with which D 86
joints affected are often D 42
