eighteen states against the M 86
eighteen inches between the D 1308
eighteen million dollars in D 588
eighteen million dollars of D 242
eighteen inches outside of D 228
eighteen million dollars to D 220
eighteen billion dollars in D 194
eighteen million gallons of D 192
eighteen inches asunder in D 150
eighteen inches distant in D 148
eighteen million barrels of D 116
eighteen million members of D 94
eighteen inches outside the D 92
eighteen horses usually do D 92
eighteen billion dollars of D 88
eighteen inches diameter at D 86
eighteen inches towards the D 80
